9,30	595	22,2C	11,1
9,35	593	22,2C	11,1
9,40	591	22,2C	11,1
9,45	589	22,2C	11,1
9,50	585	22,2C	11,1
9,55	582	22,2C	11,1
9,60	577	22,2C	11,1
9,65	574	22,2C	11,1
9,70	571	22,2C	11,1
9,75	566	22,2C	11,1
9,80	561	22,2C	11,1
9,85	557	22,2C	11,1
9,90	553	22,2C	11,1
9,95	552	22,2C	11,1
10,00	544	22,2C	11,1
10,05	538	22,2C	11,1
10,10	533	22,2C	11,1
10,15	529	22,2C	11,1
10,20	524	22,2C	11,1
10,25	518	22,2C	11,1
10,30	514	22,2C	11,1
10,35	515	22,2C	11,1
10,40	506	22,2C	11,1
10,45	501	22,2C	11,1
10,50	495	22,2C	11,1
10,55	488	22,2C	11,1
10,60	483	22,2C	11,1
10,65	478	22,2C	11,1
10,70	472	22,2C	11,1
10,75	467	22,2C	11,1
10,80	465	22,2C	11,1
10,85	461	22,2C	11,1
10,90	454	22,2C	11,1
10,95	448	22,2C	11,1
11,00	442	22,2C	11,1
11,05	436	22,2C	11,1
11,10	430	22,2C	11,1
11,15	422	22,2C	11,1
11,20	417	22,2C	11,1
11,25	410	22,2C	11,1
11,30	403	22,2C	11,1
11,35	397	22,2C	11,1
11,40	391	22,2C	11,1
11,45	384	22,2C	11,1
11,50	383	22,2C	11,1
11,55	379	22,2C	11,1
11,60	368	22,2C	11,1
11,65	360	22,2C	11,1
11,70	352	22,2C	11,1
11,75	347	22,2C	11,1
11,80	360	22,2C	11,1
11,85	339	22,2C	11,1
11,90	330	22,2C	11,1
11,95	330	22,2C	11,1
12,00	321	22,2C	11,1
12,05	310	22,2C	11,1
12,10	300	22,2C	11,1
12,15	295	22,2C	11,1
12,20	290	22,2C	11,1
12,25	281	22,2C	11,1
12,30	273	22,2C	11,1
12,35	264	22,2C	11,1
12,40	258	22,2C	11,1
12,45	269	22,2C	11,1
12,50	245	22,2C	11,1
12,55	230	22,2C	11,1
12,60	224	22,2C	11,1
12,65	215	22,2C	11,1
12,70	207	22,2C	11,1
12,75	199	22,2C	11,1
12,80	194	22,2C	11,1
12,85	183	22,2C	11,1
12,90	175	22,2C	11,1
12,95	166	22,2C	11,1
13,00	174	22,2C	11,1
13,05	153	22,2C	11,1
13,10	141	22,2C	11,1
13,15	133	22,2C	11,1
13,20	122	22,2C	11,1
13,25	124	22,2C	11,1
13,30	114	22,2C	11,1
13,35	98	22,2C	11,1
13,40	90	22,2C	11,1
13,45	82	22,2C	11,1
13,50	71	22,2C	11,1
13,55	64	22,2C	11,1
13,60	73	22,2C	11,1
13,65	56	22,2C	11,1
13,70	-1209	22,2C	11,1
13,75	68	22,2C	11,1
13,80	131	22,2C	11,1
13,85	122	22,2C	11,1
13,90	106	22,2C	11,1
13,95	85	22,2C	11,1
14,00	81	22,2C	11,1
14,05	43	22,2C	11,1
14,10	-965	22,3C	3,9
14,15	-26	22,2C	3,7
14,20	-18	22,2C	3,4
14,25	-18	22,2C	3,2
14,30	-18	22,2C	2,9
14,35	-18	22,2C	2,7
14,40	-18	22,2C	2,5
14,45	-19	22,2C	2,3
14,50	-19	22,2C	2,1
14,55	-19	22,2C	2,0
14,60	-20	22,2C	1,9
14,65	-19	22,2C	1,8
14,70	-18	22,2C	1,7
14,75	-19	22,2C	1,6
14,80	-19	22,2C	1,5
14,85	-20	22,2C	1,4
14,90	-19	22,2C	1,4
14,95	-19	22,2C	1,3
15,00	-18	22,2C	1,2
15,05	-19	22,2C	1,2
15,10	-18	22,2C	1,1
15,15	-18	22,2C	1,0
15,20	-18	22,2C	1,0
15,25	-19	22,2C	1,0
15,30	-19	22,2C	0,9
15,35	-18	22,2C	0,9
15,40	-19	22,2C	0,8
15,45	-20	22,2C	0,8
15,50	-18	22,2C	0,8
15,55	-18	22,2C	0,7
15,60	-18	22,2C	0,7
15,65	-19	22,2C	0,7
15,70	-19	22,2C	0,7
15,75	-20	22,2C	0,6
15,80	-19	22,2C	0,6
15,85	-19	22,2C	0,6
15,90	-19	22,2C	0,6
15,95	-19	22,2C	0,5
16,00	-18	22,2C	0,5
16,05	-18	22,2C	0,5
16,10	-18	22,2C	0,5
16,15	-19	22,2C	0,5
16,20	-18	22,2C	0,4
16,25	-18	22,2C	0,4
16,30	-20	22,2C	0,4
16,35	-18	22,2C	0,4
16,40	-18	22,2C	0,3
16,45	-19	22,2C	0,3
16,50	-19	22,2C	0,3
16,55	-18	22,2C	0,3
16,60	-18	22,2C	0,3
16,65	-18	22,2C	0,3
16,70	-19	22,2C	0,3
16,75	-18	22,2C	0,2
16,80	-19	22,2C	0,2
16,85	-18	22,2C	0,2
16,90	-18	22,2C	0,2
16,95	-19	22,2C	0,2
17,00	-19	22,2C	0,2
17,05	-18	22,2C	0,2
17,10	-18	22,2C	0,2
17,15	-18	22,2C	0,2
17,20	-18	22,2C	0,2
17,25	-18	22,2C	0,2
17,30	-19	22,2C	0,1
17,35	-19	22,2C	0,1
17,40	-18	22,2C	0,1
17,45	-18	22,2C	0,1
17,50	-19	22,2C	0,1
17,55	-19	22,2C	0,1
17,60	-18	22,2C	0,1
17,65	-18	22,2C	0,1
17,70	-18	22,2C	0,1
17,75	-19	22,2C	0,1
17,80	-18	22,2C	0,1
17,85	-19	22,2C	0,1
17,90	-18	22,2C	0,1
17,95	-18	22,2C	0,1
18,00	-18	22,2C	0,1
18,05	-17	22,2C	0,1
18,10	-14	22,2C	0,1
18,15	-11	22,2C	0,1
18,20	-7	22,2C	0,1
18,25	-3	22,1C	0,1
18,30	2	22,1C	0,1
18,35	-1	-0,0C	25,5
18,40	-1	-0,0C	25,5
18,45	-1	-0,0C	25,5
18,50	-1	-0,0C	25,5
18,55	-1	-0,0C	25,5
18,60	-1	-0,0C	25,5
18,65	-1	-0,0C	25,5
18,70	-1	-0,0C	25,5
18,75	-1	-0,0C	25,5
18,80	-1	-0,0C	25,5
18,85	-1	-0,0C	25,5
18,90	-1	-0,0C	25,5
18,95	-1	-0,0C	25,5
19,00	-1	-0,0C	25,5
19,05	-1	-0,0C	25,5
19,10	-1	-0,0C	25,5
19,15	-1	-0,0C	25,5
19,20	-1	-0,0C	25,5
19,25	-1	-0,0C	25,5
19,30	-1	-0,0C	25,5
19,35	-1	-0,0C	25,5
19,40	-1	-0,0C	25,5
19,45	-1	-0,0C	25,5
19,50	-1	-0,0C	25,5
19,55	-1	-0,0C	25,5
19,60	-1	-0,0C	25,5
19,65	-1	-0,0C	25,5
19,70	-1	-0,0C	25,5
19,75	-1	-0,0C	25,5
19,80	-1	-0,0C	25,5
19,85	-1	-0,0C	25,5
19,90	-1	-0,0C	25,5
19,95	-1	-0,0C	25,5
20,00	-1	-0,0C	25,5
20,05	-1	-0,0C	25,5
20,10	-1	-0,0C	25,5
20,15	-1	-0,0C	25,5
20,20	-1	-0,0C	25,5
20,25	-1	-0,0C	25,5
20,30	-1	-0,0C	25,5
20,35	-1	-0,0C	25,5
20,40	-1	-0,0C	25,5
20,45	-1	-0,0C	25,5
20,50	-1	-0,0C	25,5
20,55	-1	-0,0C	25,5
20,60	-1	-0,0C	25,5
20,65	-1	-0,0C	25,5
20,70	-1	-0,0C	25,5
20,75	-1	-0,0C	25,5
20,80	-1	-0,0C	25,5
20,85	-1	-0,0C	25,5
20,90	-1	-0,0C	25,5
20,95	-1	-0,0C	25,5
21,00	-1	-0,0C	25,5
21,05	-1	-0,0C	25,5
21,10	-1	-0,0C	25,5
